LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
Shire of Mitchell,C13,Country,22222664.660000004,999.547638,38,32,0,968.230862,35,32,0,44395.67507994485,11098.918769986212,5.045536521218234,500.5592238429278,29287,1280,0.04370539829958685
Shire of Towong,C34,Country,436036.15,1000.769071,39,33,0,968.3370011,36,33,0,5088.390870016667,5088.390870016667,1.965257830117765,85.69234580019042,3363,80,0.023788284269997028
Shire of Alpine,C2,Country,2877179.41,1027.612702,56,41,0,988.9270847,48,41,0,10930.962105969846,5465.481052984923,5.306028823238151,263.2137392946093,7351,130,0.01768466875255067
Shire of Moira,C17,Country,6137825.65,958.2606536,16,13,0,926.7433001,11,10,0,24985.8219437286,12492.9109718643,4.122337869531358,245.6523409085041,16828,223,0.01325172331827906
Shire of Strathbogie,C42,Country,2332739.66,981.9917555,25,22,0,954.1825635,25,22,0,9855.440423717686,9855.440423717686,3.246937592255152,236.6956279687032,5906,178,0.030138841855739926
Rural City of Benalla,C48,Country,6307206.379999999,968.4478935,20,17,0,938.3979906,20,18,0,12121.883373608813,4040.6277912029377,8.662020311843703,520.3157121385732,7322,307,0.04192843485386506
Shire of Gannawarra,C38,Country,2309731.08,952.4122494,14,11,0,919.3824473,4,3,0,8558.710723781845,8558.710723781845,5.257801256789739,269.86904389489604,5279,173,0.032771358211782536
Shire of Campaspe,C10,Country,11094363.629999999,964.8686286,19,16,0,931.7649788,17,15,0,31136.53969672748,7784.13492418187,7.001420264529661,356.3133134914809,22473,295,0.013126863347127664
Shire of Glenelg,C25,Country,8320328.12,952.299167,13,10,0,919.422361,5,4,0,16484.28001534414,4121.070003836035,7.279662799242662,504.74319243880535,10261,302,0.02943182925640776
Shire of Southern Grampians,C37,Country,6874736.64,993.7303903,35,30,0,961.5382901,32,29,0,13098.284610903243,6549.142305451622,5.725940627184775,524.8577843756233,8735,191,0.021866056096164856
Shire of Wellington,C12,Country,26291861.26,972.9694388,22,19,0,942.6792544,21,19,0,37383.910006745355,5340.558572392193,8.479583862223139,703.2935093000181,23313,899,0.03856217561017458
Rural City of Wodonga,C15,Country,10782766.810000002,973.0740152,23,20,0,947.0115984,23,21,0,34603.878015679344,11534.626005226448,4.334774268133577,311.6057340484852,23956,953,0.039781265653698446
City of Warrnambool,C16,Country,23211597.749999996,994.9477931,37,31,0,961.073322,31,28,0,28729.804125798622,3591.225515724828,8.144851909723744,807.9274626573796,19868,395,0.019881216025770084
City of Greater Bendigo,C19,Country,58668802.260000005,984.9620533,27,24,0,959.0622591,29,26,0,98693.027170084,8972.093379098545,6.707667390312521,594.4574195590567,63089,1957,0.031019670624039056
City of Ballarat,C20,Country,63550282.39,985.7093504,29,25,0,964.8076543,33,30,0,93882.28568082275,6705.8775486301965,6.944867130915875,676.9145204459094,60373,2816,0.04664336706806022
Rural City of Swan Hill,C23,Country,9660479.47,940.6167909,7,5,0,927.0698076,12,11,0,16574.05289444998,4143.513223612495,9.593308348451275,582.8676625760576,12011,346,0.02880692698359837
City of Greater Shepparton,C24,Country,43126080.10000001,944.0409053,9,6,0,931.1302985,16,14,0,54657.594885474005,6832.199360684251,6.019291567610418,789.0226452584241,40005,795,0.01987251593550806
Rural City of Mildura,C27,Country,36959276.6,940.0018025,5,3,0,922.2651057,7,6,0,45529.7008810714,5691.212610133925,6.171795433798323,811.7619023358336,31290,1281,0.04093959731543624
Shire of East Gippsland,C28,Country,30377352.319999997,963.3117284,18,15,0,930.853683,15,13,0,41173.41176982487,4117.341176982487,8.063456141453788,737.7905064030405,23235,1157,0.04979556703249408
Shire of Bass Coast,C29,Country,20621836.61,992.8285467,34,29,0,957.4960869,28,25,0,35498.937387709084,7099.787477541817,6.00017960181951,580.9141942693745,20107,661,0.03287412343959815
City of Latrobe,C30,Country,49584137.64,930.8178602,4,2,0,907.0987768,2,2,0,62732.22539052192,4825.555799270916,8.321082135225318,790.4093523117955,39588,2366,0.05976558553096898
Shire of Surf Coast,C33,Country,4449256.77,1086.196967,77,48,0,1075.791801,72,48,0,31324.431814749678,10441.477271583226,2.8412327006069664,142.0379081833812,22639,329,0.014532444012544724
Shire of South Gippsland,C4,Country,7157434.540000001,1002.588744,40,34,0,965.9906565,34,31,0,25101.187190766937,6275.296797691734,4.18306907964188,285.1432677508077,16103,406,0.02521269328696516
Shire of Macedon Ranges,C45,Country,9695883.28,1062.808882,73,46,0,1047.396791,63,46,0,41093.93512045263,13697.978373484211,2.5064525871784045,235.9443857488916,29882,452,0.015126162907435915
Rural City of Horsham,C5,Country,11641002.59,990.0981008,32,27,0,959.111719,30,27,0,16042.795680980811,5347.598560326937,9.536991123148558,725.6218193815644,11563,333,0.028798754648447635
Shire of Baw Baw,C6,Country,20430795.160000004,1003.321525,42,35,0,971.1326956,38,35,0,48169.90612879206,12042.476532198016,4.940844172784113,424.14023198164654,32053,844,0.026331388637569026
Rural City of Wangaratta,C9,Country,10559115.950000001,988.3513064,30,26,0,956.582454,27,24,0,24077.06868409762,6019.267171024405,6.396127453077943,438.55487927291034,16126,564,0.034974575220141385
City of Melbourne,M1,Metro,95137726.95000002,1016.684788,50,0,10,1085.522115,73,0,24,163965.093764873,16396.509376487298,4.586342023982086,580.2315893310081,119302,4959,0.04156678010427319
City of Moreland,M10,Metro,61438680.97,1026.530542,55,0,14,1049.419536,65,0,18,151981.32856936497,12665.110714113747,4.2044638378612245,404.2515060786504,113117,5399,0.04772934218552472
City of Darebin,M11,Metro,84552235.28,1018.342368,52,0,11,1044.196002,61,0,15,131191.70150156828,11926.51831832439,5.442417407715874,644.4937775198323,96257,4902,0.050926166408676775
City of Boroondara,M12,Metro,18805362.94,1089.616442,78,0,29,1130.726944,80,0,31,140973.83395920836,35243.45848980209,1.1491494233382038,133.39612332201625,102280,3211,0.031394211967149005
City of Whitehorse,M13,Metro,59662331.37,1042.697471,67,0,21,1067.255885,70,0,22,144757.72919114627,24126.288198524377,2.9773885125738833,412.15299316569474,99397,4236,0.04261698039176233
City of Manningham,M14,Metro,58047020.8,1056.081109,70,0,24,1075.160902,71,0,23,104071.89475526812,17345.315792544687,4.4392388654633725,557.7588544582701,68842,2826,0.0410505214839778
City of Banyule,M15,Metro,58630345.089999996,1057.684713,71,0,25,1064.256909,67,0,20,103517.67800472579,11501.96422274731,6.1342179639212056,566.3800253259487,76607,2460,0.032111947994308616
City of Maroondah,M17,Metro,63968642.39999999,1041.026734,63,0,17,1034.655377,60,0,14,93422.47878334908,11677.809847918636,6.850599645125974,684.7243108197347,66751,2613,0.03914548096657728
City of Knox,M18,Metro,76623268.16,1042.169006,65,0,19,1028.669427,58,0,12,129908.16884668563,11809.833531516875,5.9349616490238954,589.8264046076183,91913,3663,0.039852904376965176
City of Monash,M19,Metro,121417688.02,1042.308433,66,0,20,1066.962401,68,0,21,164255.80785065892,10950.387190043928,5.8141018725394735,739.1987510748645,112632,2255,0.020020953192698344
City of Port Phillip,M2,Metro,29442783.229999997,1061.015673,72,0,26,1105.734658,76,0,27,97825.99175285926,9782.599175285926,3.853781528250962,300.97096592061325,73919,3143,0.042519514603823104
City of Kingston,M20,Metro,86299825.28999999,1044.259648,68,0,22,1048.233929,64,0,17,131182.23160302686,8198.889475189178,6.997898943951327,657.8621527887526,95863,3202,0.03340183386708115
City of Greater Dandenong,M21,Metro,137923170.53,886.6579124,1,0,1,917.860836,3,0,1,130773.42529699621,9340.958949785443,7.09624297056105,1054.6727686972042,84196,5409,0.06424295691006698
City of Frankston,M22,Metro,65795232.35,1003.136321,41,0,7,982.1058149,42,0,6,112815.30110017139,12535.0334555746,4.600439789095342,583.2119553674626,76961,3044,0.03955250061719572
City of Casey,M23,Metro,158435289.13000003,994.6710391,36,0,6,986.3415394,44,0,7,298107.98315040383,22931.383319261833,3.0391671850763475,531.4694610176373,215866,10035,0.04648717259781531
Shire of Cardinia,M24,Metro,36831475.25000001,1020.955982,54,0,13,992.8915294,50,0,8,96787.03281573906,16131.17213595651,4.184444839537851,380.54142356155216,72377,2537,0.035052571949652514
Shire of Yarra Ranges,M25,Metro,30596818.289999995,1041.249719,64,0,18,1014.133403,55,0,10,125712.88016637738,13968.097796264154,3.5954947448645758,243.38650303378608,90152,3519,0.03903407578312184
City of Hume,M27,Metro,138016294.79999998,940.8164076,8,0,3,948.5714471,24,0,3,198226.47591075161,14159.033993625115,4.20226408290205,696.2556044336866,135744,9760,0.0719000471475719
City of Brimbank,M28,Metro,171667782.49,912.4696637,3,0,2,928.4203582,13,0,2,159547.55541161777,10636.50369410785,5.910463482609609,1075.9662349392518,107496,6340,0.058978938751209346
Shire of Melton,M29,Metro,90271752.75000001,985.1878685,28,0,4,973.9039808,40,0,4,158361.72173839674,22623.103105485246,3.302565760581727,570.0351812234214,110899,5755,0.051894065771557904
City of Hobsons Bay,M3,Metro,46936040.49,1020.66275,53,0,12,1034.269139,59,0,13,74338.31044475442,8259.81227163938,7.196827541535168,631.3842782972744,56536,1594,0.02819442479128343
City of Wyndham,M30,Metro,125213060.91000001,1005.516265,44,0,8,1004.37918,54,0,9,238883.40555107995,18375.646580852303,3.738225340265637,524.1597281366032,183269,8035,0.043842657514364135
Shire of Mornington Peninsula,M31,Metro,87818238.92000002,1037.538438,60,0,15,1016.208911,56,0,11,139504.7926300895,8719.049539380594,5.55536469671682,629.499798998724,83467,2176,0.02607018342578504
City of Yarra,M4,Metro,29842339.2,1045.741429,69,0,23,1107.861254,77,0,28,88438.08394493589,12634.0119921337,3.2565155999910305,337.43764980911055,67799,3272,0.04826029882446644
City of Maribyrnong,M5,Metro,66253194.449999996,1009.717021,48,0,9,1044.594148,62,0,16,78609.09521721813,8734.343913024237,5.991673084374016,842.8184329933395,61101,2457,0.04021210782147592
City of Stonnington,M6,Metro,19809877.19,1084.476004,76,0,28,1129.989129,79,0,30,97486.40742114534,24371.601855286335,2.0413102222580806,203.20655683228233,72834,1856,0.02548260427822171
City of Glen Eira,M7,Metro,71755193.09,1074.592644,74,0,27,1102.847404,75,0,26,124741.97091812664,13860.21899090296,5.226789309172731,575.2289511049647,94822,2661,0.028063107717618274
City of Bayside,M8,Metro,12380460.230000002,1090.406575,79,0,30,1127.126354,78,0,29,82672.82856997922,27557.609523326406,1.6692304156883728,149.75246939229183,59319,1227,0.020684772164062105
City of Moonee Valley,M9,Metro,85434267.05,1040.715483,62,0,16,1059.755144,66,0,19,104151.91244493943,9468.355676812675,7.162614516506143,820.2851493021346,76284,2975,0.0389990037229301
Shire of Buloke,C7,Country,0,975.0490374,24,21,0,946.0568513,22,20,0,5012.069907313837,0,0,0,3269,95,0.02906087488528602
Shire of Golden Plains,C32,Country,0,1039.942689,61,45,0,996.946464,52,44,0,19535.25745879043,0,0,0,14369,409,0.0284640545619041
Shire of Hindmarsh,C8,Country,0,940.1013668,6,4,0,922.8301517,8,7,0,4565.12346201177,0,0,0,2916,107,0.036694101508916326
Shire of Indigo,C35,Country,0,1029.417236,59,44,0,996.2871485,51,43,0,14057.84925181001,0,0,0,9571,202,0.021105422630864068
Shire of Loddon,C46,Country,0,948.1040223,11,8,0,924.8063462,10,9,0,6371.733134351878,0,0,0,3652,147,0.040251916757940855
Shire of Moyne,C36,Country,0,1028.978572,58,43,0,998.4238392,53,45,0,13797.11171991639,0,0,0,9818,125,0.012731717254023223
Shire of Pyrenees,C44,Country,0,958.6908796,17,14,0,929.2570974,14,12,0,6394.974139557322,0,0,0,3451,184,0.05331787887568821
Shire of West Wimmera,C39,Country,0,991.0072971,33,28,0,971.1690792,39,36,0,3164.891613415179,0,0,0,2188,64,0.029250457038391225
Shire of Yarriambiack,C40,Country,0,945.9260556,10,7,0,923.0242366,9,8,0,5183.613840300105,0,0,0,3181,130,0.04086765168186105
,,,,,,,,,,,,,,,,,,
Metro,,,2337402099.4600005,,,,,,,,,4105454.459531644,13776.69281722028,4.491829146267957,569.3406473023341,2941482,123075,0.041841153540970163
Country,,,692624124.58,,,,,,,,,1368281.2763532493,7476.946865318302,5.666232618970961,506.200104137934,905801,30631,0.0338164784538767
,,,,,,,,,,,,,,,,,,  
,,,,,,,,,,,,,,,,,,
Victoria,,,3030026224.04,,,,,,,,,5473735.735884894,11379.90797481267,4.7853972613760885,553.5572724447868,3847283,153706,0.0399915832873362
,,,,,,,,,,,,,,,,,,
Published: 22 November 2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Please note that in 2014, the ABS updated the boundaries on which its regional labour force estimates are based to align them with those used in the most recent Census",,,,,,,,,,,,,,,,,,
Please note that Porpulation Projection data is based on Victoria In Future 2023 forecast. This will be updated once the latest edition is available.,,,,,,,,,,,,,,,,,,
